flow_id,src_ip,dst_ip,src_port,dst_port,protocol,start_time,end_time,duration_seconds,total_packets,forward_packets,backward_packets,is_bidirectional,forward_backward_ratio,total_bytes,forward_bytes,backward_bytes,total_payload_bytes,forward_payload_bytes,backward_payload_bytes,packets_per_second,bytes_per_second,min_packet_size,max_packet_size,avg_packet_size,avg_inter_arrival_ms,min_inter_arrival_ms,max_inter_arrival_ms,tcp_flags,syn_count,fin_count,rst_count,ack_count,connection_state
192.168.0.53:1309 <-> 54.230.98.243:80 (TCP),192.168.0.53,54.230.98.243,1309,80,TCP,2015-03-09 14:31:08.187669,2015-03-09 14:33:13.343460,125.155791,202,76,126,True,0.6031746031746031,179989,6945,173044,173121,4361,168760,1.6139884410142877,1438.1196312362406,60,1454,891.0346534653465,622.6656268656714,0.0,61812.859000000004,"A,FA,PA,S,SA",1,2,0,201,Closed
192.168.0.51:39960 <-> 23.53.36.211:80 (TCP),192.168.0.51,23.53.36.211,39960,80,TCP,2015-03-09 14:25:25.946911,2015-03-09 14:27:21.360358,115.413447,250,118,132,True,0.8939393939393939,179799,8143,171656,171299,4131,167168,2.1661254082464065,1557.8687291091826,66,1454,719.196,463.5078192771084,0.001,10030.811,"A,FA,PA,S,SA",1,2,0,249,Closed
192.168.0.53:1265 <-> 204.79.197.200:80 (TCP),192.168.0.53,204.79.197.200,1265,80,TCP,2015-03-09 14:24:36.912146,2015-03-09 14:24:42.210840,5.298694,232,85,147,True,0.5782312925170068,177462,18855,158607,169574,15965,153609,43.784374036319136,33491.64907428132,60,1454,764.9224137931035,22.93806926406927,0.0,628.874,"A,PA,RA,S,SA",1,0,1,231,Reset
192.168.0.53:1245 <-> 23.53.36.211:80 (TCP),192.168.0.53,23.53.36.211,1245,80,TCP,2015-03-09 14:17:55.454984,2015-03-09 14:18:57.045653,61.590669,190,71,119,True,0.5966386554621849,174049,4643,169406,167589,2229,165360,3.08488287406003,2825.8988386698643,60,1454,916.0473684210526,325.87655555555557,0.0,60392.586,"A,PA,RA,S,SA",1,0,1,189,Reset
192.168.0.53:1271 <-> 23.53.36.211:80 (TCP),192.168.0.53,23.53.36.211,1271,80,TCP,2015-03-09 14:24:55.986940,2015-03-09 14:25:56.282836,60.295896,185,66,119,True,0.5546218487394958,173662,4257,169405,167372,2013,165359,3.068202187425824,2880.1628555283432,60,1454,938.7135135135135,327.6950869565217,0.0,59938.041,"A,PA,RA,S,SA",1,0,1,184,Reset
173.194.67.103:443 <-> 192.168.0.54:49367 (TCP),173.194.67.103,192.168.0.54,443,49367,TCP,2015-03-09 14:39:52.759495,2015-03-09 14:40:55.629196,62.869701,271,121,150,True,0.8066666666666666,171736,146569,25167,162522,142455,20067,4.310502446957717,2731.6178901502967,60,1454,633.7121771217712,232.85074444444442,0.0,19650.010000000002,"A,PA,S,SA",1,0,0,270,Established
192.168.0.53:1300 <-> 89.146.199.157:80 (TCP),192.168.0.53,89.146.199.157,1300,80,TCP,2015-03-09 14:29:23.718492,2015-03-09 14:29:32.003224,8.284732,198,79,119,True,0.6638655462184874,168089,19485,148604,161357,16799,144558,23.899385037439956,20289.00874524366,60,1454,848.9343434343434,42.05447715736042,0.0,4989.264,"A,FA,PA,RA,S,SA",1,1,1,197,Closed
173.194.67.103:443 <-> 192.168.0.54:49368 (TCP),173.194.67.103,192.168.0.54,443,49368,TCP,2015-03-09 14:39:52.760115,2015-03-09 14:40:32.176476,39.416361,246,117,129,True,0.9069767441860465,166820,150604,16216,158456,146626,11830,6.241063197082044,4232.252693240758,60,1454,678.130081300813,160.8831061224491,0.0,19638.207000000002,"A,PA,S,SA",1,0,0,245,Established
192.168.0.53:1248 <-> 2.22.40.154:80 (TCP),192.168.0.53,2.22.40.154,1248,80,TCP,2015-03-09 14:17:56.824478,2015-03-09 14:19:02.054223,65.229745,175,61,114,True,0.5350877192982456,165928,4293,161635,159978,2219,157759,2.6828251436518724,2543.7474882049596,60,1454,948.16,374.883591954023,0.0,64837.373,"A,PA,RA,S,SA",1,0,1,174,Reset
192.168.0.53:1375 <-> 46.28.209.52:80 (TCP),192.168.0.53,46.28.209.52,1375,80,TCP,2015-03-09 14:32:06.516644,2015-03-09 14:32:12.981938,6.465294,189,71,118,True,0.6016949152542372,165847,7676,158171,159421,5262,154159,29.23300935734709,25651.88837506848,60,1434,877.4973544973545,34.389861702127654,0.0,4941.241,"A,FA,PA,RA,S,SA",1,1,1,188,Closed
192.168.0.53:1168 <-> 80.239.237.26:80 (TCP),192.168.0.53,80.239.237.26,1168,80,TCP,2015-03-09 14:01:10.913562,2015-03-09 14:01:11.202225,0.288663,176,62,114,True,0.543859649122807,163992,4148,159844,158008,2040,155968,609.707513605831,568108.8327911786,60,1454,931.7727272727273,1.6495028571428565,0.0,45.464,"A,FA,PA,S,SA",1,2,0,175,Closed
192.168.0.54:49460 <-> 74.125.232.103:443 (TCP),192.168.0.54,74.125.232.103,49460,443,TCP,2015-03-09 14:40:53.749893,2015-03-09 14:40:54.093865,0.343972,177,65,112,True,0.5803571428571429,156135,5938,150197,150117,3728,146389,514.576767876455,453917.76074796787,60,1454,882.1186440677966,1.9543863636363616,0.0,47.877,"A,PA,RA,S,SA",1,0,1,176,Reset
192.168.0.54:49435 <-> 74.125.232.103:443 (TCP),192.168.0.54,74.125.232.103,49435,443,TCP,2015-03-09 14:40:25.938425,2015-03-09 14:40:54.100405,28.16198,169,60,109,True,0.5504587155963303,155921,5030,150891,150175,2990,147185,6.000998509337767,5536.578038902095,60,1454,922.6094674556213,167.6308333333333,0.001,24716.714,"A,PA,RA,S,SA",2,0,1,167,Reset
192.168.0.54:49206 <-> 23.53.42.121:80 (TCP),192.168.0.54,23.53.42.121,49206,80,TCP,2015-03-09 14:39:31.618003,2015-03-09 14:39:53.674038,22.056035,237,130,107,True,1.2149532710280373,155240,16741,138499,147182,12321,134861,10.745358356567714,7038.436418875831,60,1454,655.0210970464135,93.45777542372883,0.0,19635.498,"A,PA,S,SA",1,0,0,236,Established
192.168.0.54:49214 <-> 23.53.42.121:80 (TCP),192.168.0.54,23.53.42.121,49214,80,TCP,2015-03-09 14:39:32.050419,2015-03-09 14:39:58.719215,26.668796,232,129,103,True,1.2524271844660195,149963,17015,132948,142075,12629,129446,8.699305360466967,5623.163490395292,60,1454,646.3922413793103,115.44933333333331,0.0,14885.388,"A,PA,S,SA",1,0,0,231,Established
192.168.0.53:1298 <-> 216.58.209.98:80 (TCP),192.168.0.53,216.58.209.98,1298,80,TCP,2015-03-09 14:29:05.732952,2015-03-09 14:30:09.893788,64.160836,162,60,102,True,0.5882352941176471,148205,4840,143365,142697,2800,139897,2.5249047565402667,2309.898206438582,60,1454,914.8456790123457,398.5145093167702,0.0,63624.661,"A,PA,RA,S,SA",1,0,1,161,Reset
192.168.0.54:49480 <-> 216.58.209.109:443 (TCP),192.168.0.54,216.58.209.109,49480,443,TCP,2015-03-09 14:40:55.691591,2015-03-09 14:41:10.847437,15.155846,200,74,126,True,0.5873015873015873,140353,6557,133796,133553,4041,129512,13.196228042961112,9260.650972568605,60,1454,701.765,76.16003015075378,0.0,14501.986,"A,PA,S,SA",1,0,0,199,Established
173.194.67.103:443 <-> 192.168.0.54:49375 (TCP),173.194.67.103,192.168.0.54,443,49375,TCP,2015-03-09 14:39:53.187554,2015-03-09 14:40:28.797534,35.60998,199,94,105,True,0.8952380952380953,134669,121280,13389,127903,118084,9819,5.588321026858201,3781.7769063616433,60,1454,676.7286432160804,179.84838383838394,0.0,19611.569,"A,PA,S,SA",1,0,0,198,Established
